id_localidad;tipo_propiedad;nombre_conjunto;direccion
2;Edificio;IDANIKA;KR9#60-57
13;Edificio Multifamiliar;TORRES DE MALAGA I;AK40#25-79
13;Edificio;EL CONDOR;CL51#14-73
2;Edificio;LOURDES CENTER CHAPINERO;CL63#10-61
8;Conjunto Residencial;LA ALEJANDRA VI;KR72J#43-40SUR
2;Edificio;COMBEIMA;AV100#9A-95
9;Unidad Residencial Cerrada;VALPARAISO SEGUNDO SECTOR;KR96B#16-11
11;Agrupación;DE LOTES DE BRANTEVILLA;KR77A#129-92
1;Edificio;RINCON DEL ALCAZAR;CL140#7C-13
13;Edificio;LUCIANI;CL26A#32A-18
13;Edificio Residencial;KAITOQUE 22 PROPIEDAD HORIZONTAL;CL22ABis#44A-80
11;Urbanización;PARQUES DEL CAMPO ETAPA 2;CL143A#130-12
2;Edificio;CITIBANK;KR9A#99-02
11;Conjunto Residencial;TAKALI DEL PARQUE;KR73#163-21
8;Edificio;IMPERIO I;CL45SUR#72Q-60
3;Edificio;ASOCIACION DE COPROPIETARIOS DEL EDIFICIO PAX ASOCOPAX;CL12#10-10
1;Edificio;MACAHUBA DEL COUNTRY;AK19#128B-93
13;Conjunto Residencial;PARQUE TAKAY AI Y AII;KR32A#23-79
4;Conjunto Residencial;MIRADOR DEL ESTE ETAPA 1;CL63SUR#14-85ESTE
13;Edificio;AUTOPISTA EL DORADO;CL26#40-31
11;Parque Residencial;NUEVO SUBA IV ETAPA;CL152D#102B-10
13;Conjunto Residencial;CORPORACION EL DORADO;KR44A#24D-18
2;Edificio;HACARITAMA;CL69#9-73
1;Edificio;PORTAL DE BELMIRA 7;CL146#7F-54
12;Agrupación de Vivienda;METROPOLIS UNIDAD veinte;CL74A#66-72
2;Edificio;AHORRAMAS;CL100#11A-35
1;Edificio;CUBO;KR20#137-49
10;Conjunto Residencial;II EL MORTINO;CL75#110A-40
11;Conjunto Parque Residencial;TIERRA COLINA;KR62#165A-69
11;Conjunto Residencial;SAN DIEGO;CRA 55A # 165 27
11;Agrupación;SOTAVENTO;KR78#170-25
8;Agrupación de Vivienda;AGRUPACION NUEVA CASTILLA ETAPA 4  PH;KR88D#8A-81
1;Edificio;STANZA 106;KR7A#106-64
8;Conjunto Residencial;PORTALES EN PRIMAVERAMANZANA13;CL2#89-35
2;Edificio;PORTAL DE LA QUEBRADA;CL72#1-50
8;Conjunto Residencial;PARQUES DE SEVILLA PH;KR68D#40-58SUR
11;Edificio;COLINA CAMPESTRE 12;KR58C#136A-55
2;Edificio;CAMINOS DEL CERRO 2;CL64#3B-52
2;Edificio;ALTAMIRA;CL61#3A-43
11;Unidad Residencial;NIZA IX 2;CL127BBis#53-15
3;Conjunto Residencial;PARQUE CENTRAL BAVARIA MZ6 ETAPA I Y II;KR13A#31-71
9;Conjunto Residencial;OIKOS PORTON DE HAYUELOS II;KR96B#19-60
1;Edificio;OIKOS 107;CL107A#7-82
1;Conjunto Residencial;CAMINO DEL NORTE;KR8D#191-15
10;Unidad Residencial;LOTE 1 ZONA A URB SANTA CECILIA;KR77#52B-43
2;Unidad Residencial;NUEVA GRANADA;KR2A#66-52
1;Edificio Multifamiliar;CEDRO GOLF 6 49;KR 8 BIS A # 151-44
11;Edificio;PUENTE LARGO;CL108#55-96
9;Conjunto Residencial;LOS ARRAYANES DE SAUZALITO P.H.;KR69D#24-15
1;Conjunto Residencial;BALZARES;CL181C#11-75
8;Conjunto Residencial;CASTELO APARTAMENTOS PH;KR81F#10B-40
11;Conjunto Residencial;SAN ANDRES AFIDRO MANZANA 3;CL143A#128-51
11;Conjunto Residencial;CAMINOS DE ALTANIA;CL167A#48-20
1;Conjunto;LA PALMA;KR13#106-70
1;Edificio;VERDECCHIA II;CL111#13A-44
11;Edificio;TORRES DEL BATAN;KR51#122-34
11;Edificio;ORENSE;CL95A#71C-04
13;Edificio;GILCO;TV25A#45A-14
11;Conjunto Residencial;KLIMT;CL152B#56-62
1;Edificio;PORTAL DE NAVARRA PH;KR20#102-30
10;Ciudadela;PARQUE CENTRAL OCCIDENTE 4;CL77#129-50
10;Conjunto Residencial;FLORENCIA COMFAMILIAR AFIDRO;KR90Bis#75-77
11;Conjunto Residencial;ROSSETTI;KR58C#147-81
2;Edificio;DELOITTE;KR7#74-09
11;Conjunto Residencial;PORTAL DE PONTEVEDRA V;CL97#70C-49
10;Edificio;NORMANDIA PARK;KR71#54-78
11;Edificio;LAS VILLAS;CL128A#58A-80
11;Conjunto Residencial;MEDITERRANEO;CL159#54-42
11;Edificio;TORRE DE SAN MARCOS;CL114#45-15AD
13;Conjunto Residencial;SAN SEBASTIAN DE LOS ANDES;CL23A#60-35
1;Edificio;MAGNICENTRO;KR15#122-45
11;Edificio;PARQUE DEL BATAN;KR48#124-21
3;Edificio;ROMANOS;KR13#12-81
7;Conjunto Residencial;SAN DIEGO RESERVADO;CL86SUR#77L-49
1;Edificio;TORRE 123;KR7#123-35
8;Conjunto Residencial;SEVILLANA DEL PARQUE I PROPIEDAD HORIZONTAL;CL43ASUR#72G-62
11;Agrupación de Vivienda;URBANIZACION MAZUREN 13;CL151#55-68
11;Edificio Residencial;CASTEL DAIANO;KR51#102A-49
11;Edificio;LAS MARIAS II;CL137#47-34
11;Edificio Multifamiliar;ANDALUCIA 123;KR50#123A-33
2;Edificio;PORTINO;CL94A#21-16
11;Edificio;PLAZA VALLARTA I ETAPA;CL139#72A-50
1;Edificio;TERRAZO116;KR18#116-46
1;Edificio;PARQUES DE SANTA BARBARA;CL123#15A-64
11;Edificio;CAPULI;KR52#115-37
11;Conjunto Residencial;CONJUNTO RESIDENCIAL LOS ATICOS DEL NORTE III SECTOR UNIDAD 2;CL135#58A-47
12;Edificio;PORTAL DE VIZCAYA;KR66#98-52
9;Edificio;SANTA CRUZ DEL SALITRE;CL25B#69B-71
1;Torre;LOS COCHES;KR19#103-06
11;Edificio;ARRAYANES DEL PARQUE;KR58A#128B-42
1;Edificio Residencial;NELEKONAR IV;KR7#128-45
8;Agrupación de Vivienda;COMPARTIR LA MARGARITA ETAPA 8;CL45ASUR#89B-42CJ
1;Edificio;KOLINA DE SANTA INES;KR8#190-52
2;Edificio;TORRE LA PIAZZETTA;KR13A#91-44
1;Edificio;LAS TERRAZAS;DG91#4B-35
11;Edificio Multifamiliar;SCALA 168;CL168#48A-45
11;Edificio;COSMOPOLITAN 106;CL106#53-39
2;Edificio;SEGUROS BOLIVAR CHAPINERO;KR13#63-39
1;Edificio;KATANIA;KR20#118-35
2;Edificio;PARK 96;CL96#19A-45
1;Edificio;CARDENAL II;KR16A#135-50
9;Conjunto Residencial;RESERVA DE MENDOZA;KR71Bis#24D-40
11;Agrupación de Vivienda;SANTA MARIA DE SUBA;CL157C#91-86
11;Agrupación de Vivienda;CEDRO SUBA I;KR136A#146-15
14;Copropiedad;CENTRO NACIONAL DE LAS ARTES GRAFICAS;KR27#10-55
1;Edificio;ALPES 104;CL105#15-21
11;Agrupación Residencial;CIUDADELA CAFAM VI ETAPA;CL142A#113C-50
11;Conjunto Residencial;QUINTAS DE SAN PEDRO II;KR55A#188-95
11;Conjunto Multifamiliar;TORRES DE HACARI;KR58#108-36
11;Edificio;POTOSI;CL150A#53A-30
2;Edificio;LOS ROBLES TORRE A;KR10#91-20
9;Conjunto Residencial;LOS VIRREYES;CL22H#100-15
2;Edificio;LOS ROBLES TORRE B;KR10#91-10
13;Edificio;PORTUGAL II;CL22ABis#43-09
1;Edificio;STUDIO 106;CL106#14B-35
11;Copropiedad;AZIMUT;CL159#54-35
11;Edificio;CASTELLANOS MALIBU;CL120#53A-45
11;Conjunto Campestre;LAS DALIAS;KR105#237A-61
8;Conjunto Residencial;ALTOS DE TINTALA 1;KR93#6-80
11;Agrupación;MALIBU AV 13;KR45A#118-16
9;Agrupación de Vivienda;BOSQUE DE MODELIA II ETAPA LOTE 2;TV85G#24C-50
11;Conjunto Residencial;LAS AZALEAS;DG237#105-40
11;Conjunto Residencial;ALAMEDA DE SANTA CLARA III;KR57A#145-80
1;Edificio;CEDRO 153;KR7F#153-45
8;Conjunto Residencial;PORTAL DE SAN BASILIO PROPIEDAD HOR;KR85A#44-09SUR
8;Agrupación de Vivienda;NUEVA CASTILLA VIII;CL8A#88B-61
1;Edificio;LORETTO;KR17A#122-96
2;Edificio;EL PEDRAL;CL61#2-46
10;Conjunto Residencial;MUISCA MANZANA 1;CL62#119-20
11;Agrupación de Vivienda;VILLA COMFENALCO;KR140B#131-10
2;Edificio;TORRE DE LA 61;KR7#60-65
1;Edificio;CONY;CL146#15-86
2;Edificio;CALLE 87;CL87#11A-64
13;Conjunto Residencial;OBELISCO;CL24A#57-69CJ
11;Conjunto Residencial;PARQUES DE LA COLINA;KR56A#148-35PT
7;Conjunto Residencial;RESERVA DE SIENNA II LOTE DOS VIS;KR87C#69A-43 SUR
10;Conjunto Residencial;LOS ARCES AMARILLOS II;CL86A#112G-21
11;Edificio Multifamiliar;VIVAL DEL PARQUE;CL107#51-14
1;Edificio;MIRADOR DE BELLA SUIZA TORRE B;CL127C#4-51
1;Edificio;MARUGIA;CL146#19-28
1;Edificio;IGUAZU;KR8A#151-83
7;Multifamiliar;LA FORTALEZA MANZANA 57;CL54CSUR#98-10
1;Edificio;MALENA II;CL146#19-65
3;Edificio;SANTA TERESITA PRIMERA ETAPA Y SEGUNDA ETAPA;CL27#3A-70
2;Edificio;FERNANDO MAZUERA Y CIA;AC72#6-30
1;Edificio;MORANO;CL136#17A-33
1;Edificio;ALTOS DEL CEDRITO;KR7B#140A-23
1;Edificio;ALBORADA;KR12#116-73
2;Edificio;CENTRO DE DIAGNOSTICO DEL COUNTRY;KR18#82-39
2;Edificio;ARTA;KR17#89-17
9;Conjunto Residencial;EL PRADO;CL22A#72B-48
11;Edificio;LOS CEREZOS PH;KR68D#98-18
3;Edificio;TERRAZA PASTEUR;KR7#23-56
1;Edificio;CALLE 102;AK45#102-10
13;Edificio Multifamiliar;NICOFER;KR35#58A-05
3;Edificio;ALFONSO HURTADO PH;CL20#9-20
1;Conjunto;MYKONOS;CL146#15-32
1;Edificio;LIQUIDAMBAR;KR17#124-46
1;Conjunto Residencial;LOS PINOS;CL151#6-28
10;Conjunto Residencial;BALCONES DE GRANADA VI;KR120A#77-60
11;Conjunto Residencial;CIUDADELA CAFAM SUPERLOTE 15;KR147A#142-30
2;Edificio;BRISAS DE ORIENTE;CL59#3A-30
1;Edificio Multifamiliar;EL CESAR;CL134A#10B-21
11;Conjunto Residencial;BOSQUES DE SALAMANCA;KR89#127-05
1;Edificio;LA RIVIERA;KR11A#134B-59
18;Edificio Multifamiliar;EDIFICIO ACUARIO I;KR27#41-38SUR
11;Conjunto Residencial;PORTAL DE PONTEVEDRA III.;CL97#70-89
8;Conjunto Residencial;ALMANZA;KR71BBis#12-60
13;Edificio Multifamiliar;AMARILIS III;TV19#60-81
1;Edificio;BELLA SUIZA REAL VIII;CL128#7A-05
14;Edificio;CYAN 26;KR25#24C-11
1;Edificio;SANTA BARBARA PARK;KR20#118-55
9;Conjunto Residencial;CAPELLANIA III;KR89#22B-96
2;Edificio;CRUZ CALLE 85;KR16A#85-15
1;Edificio;BOSQUE DEL CHICO;KR17A#103-85
11;Casas;PINOS DE LA ALAMEDA CONJUNTO CAMPES;KR106#235B-51
2;Edificio Multifamiliar;EL LAGO;KR13#74-35
2;Edificio Multifamiliar;EL DORADO;CL72#13-38
2;Edificio;ECO DEL NEVADO;KR16A#85-37
11;Conjunto Residencial;ATABANZA I;KR48#127-51
2;Edificio;E CON;KR8A#95-33
2;Edificio;CAMINO DE SANTA RITA;KR16#85-66
1;Edificio;SAN FERNANDO;CL145#7C-21
2;Edificio;CENTENARIO;CL94#16-36
3;Edificio;CONDOMINIO PARQUE SANTANDER;KR6#14-98AD
1;Edificio;BALCONES DE ALTALOMA III;CL61#3B-46
1;Agrupación Residencial;SILVANIA;KR12#140-30
10;Edificio;ALICANTE 1;CL63B#85H-27
11;Edificio;LIGIA I;CL124#48-12
3;Edificio;FONADE;CL26#13-19
1;Edificio;BRESCIA 8128;KR8#128-11
1;Edificio;BIZANCIO;CL135C#9A-71
2;Edificio;TORRE DE AVILA;KR2ESTE#70A-47
13;Edificio;TRIBECA;KR20#32A-17
1;Edificio;103 SENIOR LIVING;KR16#103-24
4;Edificio;2A  72  S;KR8#2A-72SUR
11;Edificio;CATALUNA REAL;KR50#103B-40
11;Edificio Multifamiliar;LAS ACACIAS;CL114#56-54ED
11;Edificio;CAMINO DE SANTA HELENA 3;CL144#49-50
12;Conjunto Residencial;SALAMANCA;CL63DBis#28A-52
2;Edificio;AVANTI 96;KR16#96-14
1;Edificio;CASTILLETE REAL;CL146#7A-58
11;Edificio;LOS LAGOS;CL119A#56A-97
12;Conjunto Residencial;LAS TORRES DE VIZCAYA;KR67#97-96
11;Edificio;LOS URAPANES;KR51#106-78
10;Conjunto Residencial;AVENIDA DEL MIRADOR II;CL64#112C-30
2;Edificio;CALLE 61;CL61#5-72
1;Edificio;CEDRO VITA;CL143#17-35
11;Edificio;EDIFICIO EL NOGAL PROPIEDAD HORIZONTAL;TV36#123A-34
1;Agrupación de Vivienda;MARANTA 2;CL187#20A-65
1;Edificio;BUGANVILLA 127 TORRE 1;CL126#11-94
1;Edificio;SANTAGUEDA;CL122A#12-37
1;Edificio;AVENTINO;CL123B#11B-31
12;Edificio Multifamiliar;SALOMON II;CL78#63-20
7;Conjunto Residencial;PORVENIR RESERVADO 3;CL52SUR#97C-20
1;Edificio;PORTEZUELO;CL119A#22A-14
10;Conjunto Residencial;LA ISABELA II SECTOR;CL64G#86-57
11;Agrupación;EL MANZANO;AK72#238-51
11;Edificios Multifamiliares;ACROPOLIS;KR53A#139-20
2;Edificio;MIRADOR DE CHAPINERO;TV4#51A-34
1;Proyecto;ELEMENT 125;KR17A#123-73
7;Conjunto Residencial;PASEO DEL SOL MANZANA 13 A ETAPA 6;CL87SUR#92-25
1;Edificio;LOS ELISEOS;KR16#106-68
13;Edificio;CAMPIN I PH;CL58#20-30
13;Edificio;AXIZENE PH;TV19Bis#45D-14
1;Edificio Multifamiliar;EL OLIVAR;KR8#151-57
8;Agrupación de Vivienda;LA PRIMAVERA MANZANA 4;KR90A#2-40
1;Edificio;CAOBO PIJAO;CL146#15-92
1;Edificio;ANDALUZ;CL139#7C-80
1;Edificio;EL PORTICO V;KR17#124-28
7;Conjunto Residencial;PARQUES DE BOGOTA MANZANO;KR96#85-25SUR
2;Edificio;ANTUMALAL;CL53#4-38
10;Edificio;BALCONES DE NORMANDIA BLOQUE 5 Y 6;AC63#74A-81
11;Edificio;OSAKA;KR58B#129A-23
1;Edificio;TORRES DE JANNAN III;AK19#127B-31
2;Edificio;TORRE 94;KR18#94-17
13;Edificio;BALCONES DEL CAMPIN;DG61DBis#24-27
8;Conjunto Residencial;URBANO 40;CL40SUR#72K-70
1;Edificio;ALTOS DEL COUNTRY CLUB;AK19#131-40
11;Multifamiliar;BALCONES DEL PARQUE;KR53A#150A-43
13;Edificio;MARINA I;KR27#49-59
8;Conjunto Residencial;TORRES DE SAN ISIDRO;KR69D#1-51SUR
3;Edificio;MINERVA;KR12#18-10
10;Edificio Multifamiliar;LOS AZAFRANES  MANZANA 56;KR85I#63C-30
11;Agrupación;EL CARRIZO;KR61#239C-40
1;Edificio;MALENA;CL146#19-53
2;Edificio;EL RINCON DE LOS CERROS;TV1A#69-54ED
1;Edificio;NORTE;CL146#19-27
3;Edificio;ICCIX;CL26#3-10
11;Edificio;GOOD ART;CL121#45A-20
11;Conjunto Club Residencial;ACCANTO;CL137A#58-70
1;Edificio;LARIOS 135;KR10B#135A-48
1;Edificio;EL PORTAL DE SANTA BARBARA;KR11#114A-35
12;Edificio;LA PORTADA DEL POLO;CL83#22A-25
1;Edificio;JUAN CARLOS II;CL127#18A-39
11;Unidad Inmobiliaria Cerrada;LA LOMITA;TV76#174-05
7;Conjunto Residencial;MANANTIAL DEL SOL;CL85SUR#91-85
1;Edificio;SCOTIABANK;KR7#114-33
9;Edificio;LARES FONTIBON 1;CL16I#102-31AD
11;Conjunto Residencial;RESERVA DE ATICOS;KR57#134-20
1;Edificio;ALTANA;CL126#7C-66
1;Edificio;BUGANVILLA 127 TORRE 3;CL126#11-30
1;Edificio;CRISTINA II;CL136#16-49
11;Edificio;BETA DELTA 3;CL113#55-42
1;Edificio;SURATA;KR11#118-62
17;Edificio;QUINTA COLON;KR3#6F-25
2;Edificio;DALUCA;KR19A#86A-42
2;Edificio;ATANATOS I;KR18#85-70
10;Edificio;PORTALES DEL LAGO;CL73#73A-34
6;Conjunto Residencial;PORTAL DE SANTAFE;KR36ASUR#55-02AD
8;Conjunto Residencial;ARBOLEDA DE SAN GABRIEL IV;KR69D#4-31SUR
2;Edificio;CALLE 92 PROPIEDAD HORIZONTAL;CL92#18-98
1;Edificio;ANA CAROLINA;AV15#116-48
11;Proyecto;BELLO HORIZONTE;KR111Bis#154A-30
1;Edificio;AQUIMIN;AC116#12-20
11;Conjunto Residencial;PARQUES DE LA COLINA ETAPAS 1 Y 2 PROPIEDAD HORIZONTAL;KR59A#136-50
2;Edificio;NEOS;CL90#10-05
13;Copropiedad;CENTRO URBANO ANTONIO NARINO (CUAN);CL25#35-39
9;Conjunto Residencial;SANTILLANA 1;CL25#68B-47
11;Edificio;MUGA LOFT;CL106A#54-20
9;Edificio;EL TRIANGULO;CL23#97-67
9;Edificio;PARQUE 98;KR98#16F-09
3;Edificio;BOGTA;CL19#10-08
3;Edificio;ANDES;CL19#4-88
12;Edificio;ESQUINA 63D;KR23#63D-11
3;Edificio;FURGOR;KR8#16-88
8;Agrupación de Vivienda;TABATINGA SEGUNDA ETAPA;KR91C#2-90
11;Edificio;PORTAL DEL BATAN;CL125#45A-40
8;Agrupación de Vivienda;CEDROS DE NUEVA CASTILLA;KR90#6D-50
11;Conjunto Residencial;EL PORTAL DEL MOCHUELO;CL167#52A-48
1;Edificio Residencial;EL PORTAL DEL COMENDADOR;CL175#20A-65ADAD
11;Conjunto Residencial;CAMPINA DEL REFOUS PRIMERA ETAPA;KR102B#148-40
11;Conjunto Residencial;SENDEROS DE SUBA;KR92#152A-50
6;Multifamiliar;Urbanización el Tunal 2;CL47BSUR#23-25
1;Edificio;PENTA I;AK7#148-89
11;Edificio;CANANGA PH;KR52#115-38
1;Conjunto Residencial;ICATA CLUB RESIDENCIAL;CL155#9-45
13;Edificio;BANGKOK;CL55Bis#16-48
1;Edificio;BELLA SUIZA;KR8#127C-43
1;Conjunto Residencial;HACIENDA LA ESTANCIA RIOJA;KR7A#172A-30
2;Edificio;ARCADUZ;CL88#11A-20
10;Conjunto Multifamiliar;LOS ALISOS CIUDADELA COLSUBSIDIO;KR113#83A-61
11;Edificio;WAILEA P H;CL119A#56A-83
1;Edificio;ENTORNO 106;CL106#7-78
4;Conjunto Cerrado;ALTAVISTA CAMPANARIO PROPIEDAD HOR;KR4#0-75SUR
1;Edificio;EL MAJUY;KR11#118-28
1;Conjunto Residencial;KEPLER;KR11A#191A-52
2;Edificio;LIAN;CL69#7-21
15;Agrupación de Vivienda;EL DIAMANTE;KR7#5-32SUR
2;Edificio;GALA;KR9#73-24
1;Edificio;JEREZ DE VALENCIA;CL103A#23-54
11;Conjunto Residencial;RINCON DE GRANADA II;CL133#58C-60
11;Edificio;TALIY;KR58A#128-60
8;Unidad Residencial;CONTRALMIRANTE VICTORIA;KR73F#6-41SUR
2;Edificio;ACONCAGUA;CL100#14-60
1;Edificio;ADFA III;KR14B#118-93
2;Edificio;BASIKA 86;KR18#86A-40AD
16;Edificio Multifamiliar;BALCONES DE PRIMAVERA;KR41C#5B-43
16;Edificio;SANTA CATALINA ASPROSANTA;CL9#37A-03
11;Edificio Multifamiliar;ALBA;AC116#50-50
2;Edificio;DIMENSION 16;KR16#79-39
14;Casas;VOLGA;KR18B#23-15
2;Edificio;BALCONES DE ALTALOMA;CL61#3B-66
11;Agrupación de Vivienda;AGRUPACION TORRES DE NUEVA ALSACIA;CL169A#56-57
1;Edificio;LIFE 125;CL125#18-28
1;Edificio;METRO 20;KR20#137-59
2;Edificio;XIAN;CL96#9A-08
1;Edificio;TORRELLO;CL126#7-81
11;Edificios Multifamiliares;TORRES DE LAS COLINAS I;KR51#103B-81
1;Edificio;VIA AL CEDRO V;CL144#16-15
1;Edificio;VINA DEL MAR;CL181#17B-86
1;Edificio;JUAN PABLO;KR14B#119-61
13;Edificio Multifamiliar;COUNTRY58 FEDERMAN PH;CL58#35A-41
3;Edificio;TORRE BARCELONA;KR5#20-89
1;Edificio;BUGANVILLA 123 TORRE 8;KR11B#123-70
11;Conjunto Residencial;CERROS DE SUBA;CL128A#89-99
2;Edificio;RESIDENCIAS BACATA;CL47#9-13
18;Conjunto Cerrado;PORTAL DE MOLINOS 3 ETAPA A;CL49ABisSUR#10D-20
2;Edificio;TERRAZAS DEL ROSAL;TV1A#69-10
11;Edificio;AIDA;CL108#55-78
2;Edificio;TORRE UNO 93;KR11A#93-35
1;Conjunto Residencial;TORRES DE ARANJUEZ;KR9#166-21
8;Multifamiliar;VILLA ALSACIA MANZANA 19;KR72A#11A-25
1;Edificio de Vivienda;MULTIFAMILIAR TORRE SAN MIGUEL;CL163#20-86
2;Edificio;TORRE SURAMERICANA;KR11#93-46
1;Edificio;BELLA SUIZA PARK II;CL127CBis#7D-40
2;Edificio;90;KR19A#90-13
1;Conjunto Residencial;ALAMEDA DE TORCA;KR19#184-49
1;Edificio;EL RINCON DEL PARQUE;CL127D#7C-09
7;Conjunto Residencial;PARQUES DE BOGOTA CEREZO;CL83SUR#91-48
11;Conjunto Residencial;REMANSO DE LA COLINA;CL162#55-69
11;Edificio Multifamiliar;EL ZORZAL;KR70F#127A-12
1;Edificio;CEDROS DEL NORTE II;AC147#19-30
3;Copropiedad;ALTAVISTA TORRES DE APARTAMENTOS;CL32#13-52
5;Conjunto Residencial;SUE;DG68ASUR#14R-35
8;Conjunto Residencial;TORRES DE VILLA ALSACIA;CL12C#71C-30
12;Conjunto Residencial;MENDIGUACA;CL94A#61-05
1;Edificio;IMOVAL II;CL117A#9A-09
11;Conjunto Residencial;ALCAZAR DE SAN LUIS;KR51A#127-75
1;Edificio;SANTA PAULA PARK;KR14B#110-07
2;Edificio;CHICO 92 11;CL92#11-51
7;Conjunto Residencial;ENTREPARQUES 29;KR92A#51-70SUR
1;Edificio;PARQUE GIRALDA;CL137#19-70
2;Edificio;TIARA;KR23#93-77
2;Edificio;EL PARQUE;KR11#81-12
11;Edificio;EL PARQUE;CL108#57-06
11;Edificio;PARQUE DE LA FLORESTA;CL98A#68B-75
1;Agrupación Multifamiliar;TORRES DE PAMPLONA;KR11#142-52
3;Edificio;LUTAIMA;KR7#37-25
11;Edificio;MALBEC;TV59#106A-20
11;Conjunto Residencial;ALTOS DE SAN JORGE;CL139#96A-35
1;Edificio;ALMENARA;CL145#7F-09
1;Edificio;SCALA 26;KR17#145-15
10;Conjunto Residencial;CIPRES DE LA FLORIDA;CL77B#123A-86
8;Agrupación;PRADOS DE CASTILLA ETAPA 7 LOTE 1;KR92#6A-65
11;Conjunto Residencial;TORRES DE GRANADA;CL146F#73A-20
10;Conjunto Residencial;EL PINAR DE LOS ALAMOS PROPIEDAD HORIZONTAL;CL65Bis#86-50
3;Edificio;CAXDAC;CL35#7-25
8;Agrupación de Vivienda;SANTA MARIA DE ALSACIA;CL12C#71B-60
1;Edificio;LUHHO 106;CL106#18A-09
11;Conjunto Residencial;TORRECOLINA;KR55#153-15
1;Conjunto Multifamiliar;LOS ROBLES;CL146#19-93
11;Conjunto;CONJUNTO MONTECARLO III PARQUE RESIDENCIAL;KR55#149-09
1;Conjunto Residencial;BALCONES DE LA CALLEJA;CL128B#22-30
10;Conjunto Residencial;QUINTAS DE LA SABANA ETAPA 5;DG77B#120A-55
12;Agrupación de Vivienda;METROPOLIS UNIDAD DIECIOCHO;CL74A#66-28
13;Edificio Residencial;CALLE 45;CL45#25-04
7;Conjunto Residencial;EL SOLAR DE BOSA NOVA;CL51SUR#88I-26
7;Conjunto Residencial;ALAMEDA DEL PARQUE SUPERMANZANA 2 SUPERLOTE 1;CL74SUR#78-01
11;Edificio;DUAL 102;KR51#102A-63
1;Edificio;ORIENTE 1;CL119#14-03
8;Agrupación;CASTILLA RESERVADO;CL6C#79A-56
2;Edificio;ANDES IV;KR5#48-64
2;Edificio;ANACAPRI;AC100#14-83
1;Conjunto Residencial;ALEJANDRIA MANZANA B;CL155A#7G-10
2;Edificio;100 STREET;CL100#9A-39
2;Asociación de Copropietarios;EDIFICIO LOS MONTEROS;CL70#7-60
13;Edificio;COANDES 56;CL56#35-15
7;Conjunto Residencial;PORTAL DEL PORVENIR ETAPA 3;CL57FSUR#92A-29
2;Edificio;ANGAR;AK14#48-73
1;Agrupación de Vivienda;APOSENTOS;CL140#6-50
11;Agrupación de Vivienda;APARTAMENTOS TORRELADERA ETAP I II y III;KR80#146-07
1;Edificio;LOS SAUCES;KR7A#148-62
1;Conjunto Residencial;PARQUES DE LA ALAMEDA;CL175#15-20
11;Conjunto Residencial;SAN PEDRO II;CL188#55-69
13;Edificio;AVENIDA 39;DG42A#21-49
5;Conjunto Residencial;VENTANAS DE USMINIA PH;KR14I#136A-75SUR
1;Conjunto Residencial;CARUPANA;AC147#17-61
8;Agrupación;TORRES DE NUEVA CASTILLA  ETAPA I;CL8A#88-90
10;Agrupación de Vivienda;LOS ALCAPARROS CIUDADELA COLSUBSIDIO MANZANA 38 AGRUPACION 1;KR118#89B-51
1;Conjunto Residencial;SAUSALITO;KR17#147-32
11;Edificio;BALCONES DE LAS VILLAS;TV59B#128A-21
1;Edificio;BALCONES DE BELLA SUIZA;AK9#127B-24
9;Conjunto;SOLSTICIO PARQUE RESIDENCIAL ETAPA6;KR23#14B-46
1;Agrupación de Vivienda;MARANTA 1;KR23#187-09
19;Conjunto Residencial;LA VALVANERA MANZANA 72;CL62CBisSUR#71D-25
1;Edificio Multifamiliar;MADERO;KR9B#134B-85
1;Edificio;LAURA I;KR16#140-74
1;Edificio;DE CAMBIL 114A;CL114A#15B-44
1;Conjunto Residencial;SAN CAYETANO;KR7ABis#183-35
9;Conjunto Residencial;PRADOS DE CAPELLANIA I II Y III;KR89#19A-50
1;Edificio;AKAROA;CL142#13-44
1;Conjunto Residencial;EL PORTAL DEL COMENDADOR II;CL173A#20A-32
11;Conjunto Residencial;PARQUE CENTRAL COLINA PRIMERA ETAPA;KR56#153-84
2;Edificio;OSPINA ORTIZ PROPIEDAD HORIZONTAL;CL67#8-10
1;Apartamentos;CONJUNTO RESIDENCIAL ALTOS DEL CERRO  PROPIEDAD HORIZONTAL;KR3A#129-09
8;Conjunto Residencial;DAVINCI PH;CL12C#71B-61
11;Edificio Multifamiliar;PARAISO V;KR45A#122-34
7;Proyecto;CAMINOS DEL PORVENIR V;KR100#56F-15SUR
11;Conjunto;ZULIA III;CL140A#103F-11
11;Agrupación;MACAGUA;KR77#238-40
2;Edificio;FIORANO;KR1ESTE#74-75AD
13;Agrupación de Vivienda;RAFAEL NUÑEZ III ETAPA;CL45#45-84
2;Edificio;LE PARC;KR19A#88-14
2;Edificio;BERNINA;TV4#43-39
12;Edificios Multifamiliares;COLPATRIA SEGUNDO SECTOR;AC80#23-86
1;Edificio;ANCHICAYA;AK19#144-55
1;Edificio;OPERA139;KR12#138-85
1;Edificio;SAVVY HAUS;KR17#121-55
11;Edificio;LARES 162 PH;KR55C#162-79
10;Agrupación;VILLA ALAMOS MANZANA 1;CL70B#111-85
8;Edificio;BOULEVARD;AK100#13-26
13;Edificio;PARQUE EL GRECO;CL45#66A-28
1;Edificio;TANAMO SANTA BARBARA;KR17A#116-98
