id_localidad;tipo_propiedad;nombre_conjunto;direccion
2;Edificio;ALPINO;CL85#10-41
9;Conjunto Residencial;EL CORTIJO FONTIBON IV ETAPA;KR100#23-24
13;Edificio;MILETO APARTAMENTOS;KR21#33A-58
4;Urbanización;EDIFICIO VARGAS;CL26SUR#0-8ESTE
10;Agrupación de Vivienda;CIUDADELA FLORIDA DE LA SABANA ETAPA 1;DG77#120A-68
15;Copropiedad;EDIFICIO MULTIFAMILIAR PH;KR20#20-41SUR
1;Edificio;DE VIVIENDA MULTIFAMILIAR PARQUE BS;KR8#127A-01
1;Edificio;JORSANZ;KR14B#119-57
12;Conjunto Residencial;EL LABRADOR IV;CL66B#50-61
1;Edificio;PIRACANTA;CL146#28-30
1;Edificio;VENUS;CL146#15-74
8;Conjunto Residencial;SANTA MARIA DE LOS ANGELES LOTE 1;TV74#11A-35
1;Edificio;BAIA 138;CL138#11B-50
2;Edificio;NEMEQUENE;CL64#10-22
13;Edificio;QUINTA PAREDES;CL24D#40-46
3;Edificio;GUEVARA;CL17#10-11
1;Edificio;PAOLA PROPIEDAD HORIZONTAL;KR14B#119-15
1;Edificio Multifamiliar;CIMA I;KR19A#137-16
12;Agrupación de Vivienda;METROPOLIS UNIDAD 7;KR66#76-26
3;Copropiedad;EDIFICIO RESIDENCIAS CONCHITA;KR5#26C-20
3;Edificio;SODECON;KR10#19-45
13;Edificio;UNION;CL53#35-72
1;Edificio Multifamiliar;PALMA REAL;CL116#22-05
10;Edificio;OPALO;CL68BBis#70C-35
1;Edificio;EL PORTAL DEL PARQUE;CL106#13A-47
13;Edificio;PARQUE VARENA;DG54#17-42
11;Conjunto Residencial;NIZA VIII FRENTE 6;KR56B#127-04
1;Edificio;SEPTIMO ARTE PROPIEDAD HORIZONTAL;KR11A#144-36
1;Edificio;PARANUA;KR18#134-60
8;Conjunto Multifamiliar;EL PARQUE PH;CL45SUR#72P-10
2;Edificio;EL LAGO;KR13#73-33
3;Edificio;FLORIDA;CL21#5-90
1;Edificio;MADEROS;CL103#17-53
